dt,Virginia,California,Florida,Arizona,New Jersey,Texas,New York,Michigan,Colorado,Nevada,Washington,Massachusetts,Illinois,Tennessee,Georgia,Missouri,South Carolina,Idaho,North Carolina,Rhode Island,West Virginia,Hawaii,Oregon,Utah,Pennsylvania,the District of Columbia,Vermont,Montana,Ohio,Maine,Wyoming,New Hampshire,Alabama,Maryland,Indiana,Connecticut,Oklahoma,New Mexico,Wisconsin,South Dakota,Iowa,Alaska,Kansas,Minnesota,Nebraska,North Dakota,Louisiana,Arkansas,Delaware,Kentucky,Mississippi
2000-01-01,136640,200355,114893,134216,183944,114264,150079,121246,183783,161297,172608,204750,145304,114830,131932,101200,122203,125585,135102,142842,71335,220999,159637,178960,106237,186306,128527,,111248,114941,,139079,103790,162313,104181,170761,80747,,119292,118373,96286,132216,96100,134761,120444,,105738,81854,151312,93544,85691
2000-02-01,137131,201206,115232,134540,184704,114388,150847,121449,184678,161344,173200,205724,145623,115019,132377,101403,122608,125539,135433,143791,71395,220880,160146,179107,106597,187274,128901,,111413,115533,,139767,104071,162338,104117,171695,80813,,119344,118107,96577,132403,96163,135442,120761,,106084,82029,151707,93651,85703
2000-03-01,137588,202278,115590,134923,185340,114427,151488,121835,185527,161657,173708,206741,146056,115166,132820,101653,122878,125650,135717,144661,71469,221370,160542,179315,106887,188175,129377,,111587,115973,,140485,104225,162540,104018,172565,81031,,119589,117736,96816,132555,96332,135978,121000,,106290,82182,152116,93787,85749
2000-04-01,138411,204532,116287,135668,186710,114635,152843,122522,187442,162320,174693,208658,146908,115497,133708,102181,123503,125823,136305,146320,71603,222055,161359,179800,107453,190216,130235,,112040,116944,,141457,104574,162957,103557,173932,81370,,119901,117326,97314,132682,96545,137220,121394,,106752,82493,152978,94088,85910
2000-05-01,139131,206949,116949,136444,187899,114684,154067,123364,189338,163025,175624,210524,147786,115789,134555,102763,123975,126233,136858,147741,71733,223401,161955,181660,107943,192123,131074,,112588,117698,,142470,104904,163674,103425,174878,81773,,120377,117252,97786,132930,96815,138377,121521,,107137,82721,153867,94409,86336
2000-06-01,139783,209464,117608,137051,189255,114756,155324,124163,191399,163662,176400,212462,148641,116031,135388,103336,124488,126633,137400,148601,71918,224730,162469,183257,108389,194299,131752,,113178,118526,,143460,105274,164408,103539,175791,82096,,120829,117104,98197,133028,97072,139690,121579,,107519,82918,154749,94715,86820
2000-07-01,140621,212077,118256,137695,190690,114760,156348,125069,193374,164163,177259,214767,149582,116287,136191,103941,124943,126978,137889,149408,72143,225988,162849,184782,108840,196253,132400,,113676,119354,,144918,105562,165223,104144,176796,82439,,121416,116975,98588,133419,97424,141071,121610,,107856,83096,155590,95054,87208
2000-08-01,141575,214846,118923,138318,192451,114977,157197,125905,195591,164814,177979,217626,150676,116538,137056,104617,125469,127328,138330,150242,72464,227549,163317,184976,109233,197868,133061,,114139,120181,,146533,105811,165894,104572,178036,82747,,122012,116712,98878,133415,97794,143169,121838,,108066,83340,156301,95445,87542
2000-09-01,142605,217631,119603,139060,194341,115229,157940,126671,197829,165515,178631,220755,151805,116869,137935,105289,126019,127594,138762,151390,72706,229028,163674,185464,109649,199034,133812,,114602,121047,,148220,106115,166606,104887,179259,83032,,122584,117080,99220,133604,98131,145098,122088,,108416,83632,156945,95882,87843
2000-10-01,143540,220271,120296,139742,196197,115491,158790,127384,200034,166209,179202,224012,152924,117167,138871,106013,126558,127888,139243,152464,73038,230643,164068,185890,110045,198985,134784,,115055,121839,,150248,106490,167392,105276,180647,83297,,123151,117328,99671,133508,98510,147083,122350,,108853,83932,157522,96267,88266
2000-11-01,144531,222915,121027,140381,197757,115824,159921,128181,202144,166910,179855,227067,153940,117527,139792,106800,127108,128108,139821,153491,73523,231463,164489,186519,110530,199378,135737,,115514,122924,,152071,106926,168226,105850,182027,83653,,123675,117254,100098,133813,98950,148532,122685,,109471,84394,158385,96714,88715
2000-12-01,145564,225511,121790,141007,199145,116204,161134,129037,204169,167576,180715,230149,154904,117955,140810,107509,127535,128362,140435,154673,74167,232344,165015,187088,111036,199890,136700,,115969,124097,,153984,107412,169174,106538,183223,84096,,124225,117071,100618,134216,99476,150269,123034,,110077,84911,159125,97193,89357
2001-01-01,146615,227595,122552,141622,200491,116440,162295,129830,206264,168259,181612,232850,155805,118466,141814,107998,128122,128856,141086,155805,74915,233099,165628,187654,111541,201102,137521,,116406,125594,,155659,107968,169902,107028,184354,84594,,124731,117216,100914,137612,100155,151757,123641,,110773,85544,160035,97793,89952
2001-02-01,147514,229752,123354,142245,202191,116397,163260,130453,208206,169048,182525,235385,156612,118848,142674,108347,128627,129318,141536,157021,75257,233892,166112,187935,112029,202207,138600,,116780,126889,,157634,108414,170631,107170,185345,85058,,125308,117568,101264,142158,100926,153145,123956,,111373,85852,160735,98315,90273
2001-03-01,148497,232218,124204,142871,203882,116190,164215,131017,210202,169881,183372,237971,157557,119197,143427,108835,129191,129998,141935,158383,75568,234555,166656,188120,112560,203614,139727,,117169,128128,,159412,108788,171261,107226,186628,85435,,125908,118233,101475,147596,101698,154606,120164,,111986,86101,161618,98826,90495
2001-04-01,149506,235325,125127,143507,205735,116110,165235,131544,212108,170727,184180,240683,158469,119467,144103,109468,129507,130563,142219,160019,75690,235379,167090,188310,113137,205782,140841,,117560,129069,,161309,109042,172212,107263,188032,85772,,126585,118719,101842,150718,102291,156216,116134,,112494,86216,162399,99259,90707
